block_number,tx_hash,log_index,user,amount_raw,amount_tokens
40881726,0xff2bbd54cc212721b6b7a1325ba326a88086451ffe7c1479ad691cf6d92e3567,652,0xc0a61b303c08f020f5f0ff5edeac877bd6adcd6a,25000000,25.0
40881750,0xcf127f324b766dd0e9931d39bd03fb5d38cc14753c8d4501a278c49be63b348c,573,0xb4f952ad84f2f6f8f9f0a6abebbe14dee059f8c4,1810881,1.810881
40882426,0x20a7f3ade7f9216c98553e6711210d219245fa0c1bba0f6782a7555b41f5ffdc,611,0x143e1c74e7b4afc4077adc738790e6f4fe142fba,10700798,10.700798
40882475,0xf45ddb45d9e99c586ba24c61bd064b7f718ab1d1db1529aaad632792e2971083,424,0x5fa275ba9f04bdc906084478dbf41cbe29388c5d,21401596,21.401596
40883592,0x89b517f051d7c1da367d230da40b65e1ef7981d007dfca1047ca6d13ff133a25,1117,0x6a725819bae3ce3da3eb7b34b9a2a85b1f37534e,202210,0.20221
40884310,0xc6ae1d0227e881ecbb5100458d7a241c2b7b0a9fbcc7ec2b182b0ed1fba1cf63,43,0x0d316849ead56726b93f6e688f8f968185915536,71654,0.071654
40884453,0xbb214a01c174ef7fb43a418f029499eaa05578e5dde88a161d6769fe45907494,458,0x7f0759cb20de8c7a996db6f6c12b33314d0379c3,369048,0.369048
40885525,0xc29aeb18fc564b3511304f87d6ce1f10e09ee6e519b11f09e080264778a68ae9,111,0x35d527c6af6621dfc46f7ccce92948d49cf1fe27,0,0.0
40885548,0x34201a169c1a15c7928573669c3e2bb424b0988c1620e955bafc0d66a0ad568a,70,0x35d527c6af6621dfc46f7ccce92948d49cf1fe27,0,0.0
40885637,0x25b810fc453a03e0069b243166779da2d2db3396c1318d934126fdc5433d39c4,110,0x6eaf0b9b37c2819838d29c89f0ac115752039e5e,0,0.0
40888878,0x8bb0c3a5ebd9962a496da051ad2a0faa6c71785b298192736d614e7f727cb80a,1077,0x78082d8db5a648e92950c3ebd9867edc7cccd19f,0,0.0
40892815,0x232e961855ab77a07cbb2b73f36c79b40312c784ebdffa4638f39907ff1aaedc,470,0x0dc902e11a61822f110842fa3d0ec094486d780d,1254218,1.254218
40893595,0x9f996c81a65493f0aebbeed3e4cd2c7d483496cd9ba331dc698581eebd793022,306,0xa2fcd8a5091a82d48ac9658ca07883b19aa04c48,2497947,2.497947
40893785,0x754726948e5bc10cf34e7bee5f9e7507eb828bfa61c37f02d8cfac1281bba488,211,0xe7bea3c4024aa97069afca8609af3200f0835c27,29722,0.029722
40895218,0xe5ceec4c002bde445459384d718e300ffa20ff400393ff4f2537d6e33bb3d7b0,287,0x01610139f055d560d81e6478a82c102b652eea3e,29586617,29.586617
40895244,0xf9a538721b8ba979212e705a4e4f3031d0574a37caa24a2389de5c635f2b8688,800,0xb85879a3d3841823b9894d7b90aa07fd9be65bce,6894205,6.894205
40896661,0xdefa3cd627895742c8f36058dd2c02ddd39f1e5e49fb233599e9d5dcba90448b,416,0x666e25c77230983cc27de91ca57825798354086b,0,0.0
